trucks,trucks-href,food type,payment,description,monday,tuesday,wednesday,thursday,friday
"Seattle Cookie Counter","http://www.seattlefoodtruck.com/index.php/trucks/cookie-counter/","Sweets","Cash or Cards","We serve 100% vegan ice cream sandwiches – we make the ice cream and the cookies by hand and pre-package the sandwiches at our kitchen space.","null","South Lake Union
Boren Ave N and Harrison St, SLU Pods, 3p – 7p","Queen Anne
1630 Queen Anne Ave N, Umpqua Bank, 12p – 6p","Downtown Seattle
401 Pine St, Westlake Park, 3p – 7p","Beacon Hill
2524 16th Ave S, El Centro de la Raza, 2p – 6p"
"POP UP","http://www.seattlefoodtruck.com/index.php/trucks/pop-up/","Sweets","Cards Only","Artisan ice cream bars, popsicles, and ice cream sandwiches","Downtown Seattle
Roaming, 11a – 2p","null","Queen Anne
Gates Foundation courtyard, 11a – 2p","South Lake Union
South Lake Union Farmers Market, 11a – 2p","SoDo
2401 Utah Ave S, Starbucks HQ, 11a – 2p"
"Spice on Curve","http://www.seattlefoodtruck.com/index.php/trucks/spice-on-curve/","null","null","null","null","null","null","null","null"
"Napkin Friends","http://www.seattlefoodtruck.com/index.php/trucks/napkin-friends/","Jewish","Cash or Cards","Sandwiches where the bread is removed and replaced by two crispy, delectable latkes (potato cakes).","South Lake Union
2100 Westlake Ave, parking lot pod, 11a – 2p","SoDo
2401 Utah Ave S, Starbucks HQ, 11a – 2p","null","null","Bellevue
106th Ave NE and NE 6th St, 11a – 2p"
"Papa Bois","http://www.seattlefoodtruck.com/index.php/trucks/papa-bois/","Caribbean Fusion","Unknown","A mash up of Caribbean and Southeast Asian flavors","South Lake Union
Boren Ave N and Harrison St, SLU Pods, 11:30a – 2p","Queen Anne
101 Elliott Ave W, PI Building, 11:30a – 2p","Downtown Seattle
McGraw Square Stewart St and 5th Ave, 11:30a – 2p","null","South Lake Union
Boren Ave N and Harrison St, SLU Pods, 11:30a – 2p"
"NOSH","http://www.seattlefoodtruck.com/index.php/trucks/nosh/","British","Cash or Cards","From hand pulled mozzarella to hand rolled all butter pastry for our pies and we grind all of our own meat. There is a little of something for everybody.","Bellevue
106th Ave NE and NE 6th St, 11a – 2p","South Lake Union
Boren Ave N and Harrison St, SLU Pods, 11a – 2p","South Lake Union
2100 Westlake Ave, parking lot pod, 11a – 2p","Queen Anne
101 Elliot Ave W, PI Building, 11a – 2p","Downtown Seattle
2nd Ave and Pike St,"
"Saffron Spice","http://www.seattlefoodtruck.com/index.php/trucks/saffron-spice/","Indian","Cash or Cards","Indian inspired wraps and bowls","South Lake Union
2116 Westlake Ave, 11a – 2p","South Lake Union
2116 Westlake Ave, 11a – 2p","null","South Lake Union
2116 Westlake Ave, 11a – 2p","null"
"ThaiUUp","http://www.seattlefoodtruck.com/index.php/trucks/thaiuup/","Thai","Cash Only","Thai","South Lake Union
200 Boren Ave N, 11a – 2p","South Lake Union
1116 Harrison St, 11a – 2p","South Lake Union
1116 Harrison St, 11a – 2p","South Lake Union
1116 Harrison St, 11a – 2p","White Center
2851 SW Roxbury St, 76 Gas Station, 4p – 9p"
"Hot Dog King","http://www.seattlefoodtruck.com/index.php/trucks/hot-dog-king/","Hot Dogs","Cash or Cards","35 toppings to choose from, including 20 different mustards.  From the locally sourced half pound Jalapeño & Cheese Brat to the best Vegan sausage around, The Hot Dog King has got you covered.","South Lake Union
400 Westlake Ave N,  in front of the Firestone, 11a – 2p","South Lake Union
400 Westlake Ave N,  in front of the Firestone, 11a – 2p","South Lake Union
400 Westlake Ave N,  in front of the Firestone, 11a – 2p","South Lake Union
400 Westlake Ave N,  in front of the Firestone, 11a – 2p","South Lake Union
400 Westlake Ave N,  in front of the Firestone, 11a – 2p"
"Raney Brothers BBQ","http://www.seattlefoodtruck.com/index.php/trucks/raney-brothers-bbq/","BBQ","Cash or Cards","Pulled pork, grinders and more","South Lake Union
Westlake Ave N and Harrison St, 11a – 2p","Downtown Seattle
83 King St S, 11a – 2p","Downtown Seattle
5th Ave and Union St, 11a – 2p","Queen Anne
101 Elliott Ave W, PI Building, 11a – 2p","Downtown Seattle
1010 Seneca St, Virginia Mason, 11a – 2pm."
"Charlie’s","http://www.seattlefoodtruck.com/index.php/trucks/charlies/","Burgers / Cheesesteaks","Cash or Cards","A fresh take on American diner fare","Redmond
Microsoft Campus, 11a – 2p","Redmond
Microsoft Campus, 11a – 2p","South Lake Union
960 Republican St, 11a – 2p","Redmond
Microsoft Campus, 11a – 2p","null"
"Tacos el Tajin","http://www.seattlefoodtruck.com/index.php/trucks/tacos-el-tajin/","Mexican","Cash or Cards","Taco Truck","null","South Lake Union
Boren Ave N and Republican St, 11a – 2p","null","null","South Lake Union
Boren Ave N and Republican St, 11a – 2p"
"Poke to the Max","http://www.seattlefoodtruck.com/index.php/trucks/poke-to-the-max/","Poke / Hawaiian","Cash or Cards","Loco Moco, Kalua Pork, lots of Poke and other great Hawaiian dishes","Queen Anne
101 Elliott Ave W, PI Building, 11a – 2p","South Lake Union
531 Stewart St, McGraw Square, 11a – 2p","Bellevue
106th Ave NE and NE 6th St, 11a – 2p","South Lake Union
1415 Dexter Ave N, 11a – 2p","Bellevue
106th Ave NE and NE 6th St, 11a – 2p"
"Caravan Crêpes","http://www.seattlefoodtruck.com/index.php/trucks/caravan-crepes/","French","Cash or Cards","Sweet and Savory Crêpes","Bellevue
106th Ave NE and NE 6th St, 11a – 2p","South Lake Union
Boren Ave N and Harrison St, SLU Pods, 11a – 2p","International District
5th Ave S and S Dearborn St, 11a – 1:30p","Queen Anne
W Crockett St at Queen Anne Ave N, Queen Anne Farmers Market, 3p – 7:30p","South Lake Union
Westlake Ave N and Harrison St, 11a – 2p"
"Cheese Wizards","http://www.seattlefoodtruck.com/index.php/trucks/cheese-wizards/","Sandwiches","Cash, Cards, or Level Up","Grilled Cheese Magic","South Lake Union
Westlake Ave N and Republican St, next to the Tesla dealership, 11a – 2p","South Lake Union
2100 Westlake Ave, parking lot pod, 11a – 2p","Bellevue
106th Ave NE and NE 6th St, 11a – 2p","South Lake Union
Westlake Ave N and Republican St, near Tesla, 11a – 2p","Bellevue
11201 SE 8th St, Great Western Building, 11a – 2p"
"Fez","http://www.seattlefoodtruck.com/index.php/trucks/fez/","Mediterranean","Cash or cards","Modern Middle eastern street food (and drink)!","null","Bellevue
600 106th Ave NE, 11a – 2p","South Lake Union
Fairview Ave N and Republican St, 11a – 2p","Bellevue
106th Ave NE and NE 6th St, 11a – 2p","Pioneer Square
505 1st Ave S, the loading dock around back on Railroad Way S, 11a – 2p"
"BUNS","http://www.seattlefoodtruck.com/index.php/trucks/buns/","Burgers","Cash or Cards","Gourmet burgers made from organic ingredients.","null","South Lake Union
201 Terry Ave N, 11a – 2p","South Lake Union
201 Terry Ave N, 11a – 2p","null","Downtown Seattle
2nd Ave and Union St, 11a – 2p"
"Chick’n Fix","http://www.seattlefoodtruck.com/index.php/trucks/chickn-fix/","American / Filipino","Cash or Cards","Serving up delicious chicken treats!","Downtown Seattle
2nd Ave and Pike St, 11a – 2p","South Lake Union
Boren Ave N and Harrison St, SLU Pods, 11a – 2p","West Seattle
1801 16th Ave SW, Vigor Shipyard, 11a – 2p","South Lake Union
Boren Ave N and Harrison St, SLU Pods, 11a – 2p","null"
"Plum Vegan Burgers and More","http://www.seattlefoodtruck.com/index.php/trucks/plum-vegan-burgers-more/","Vegan burgers, sandwiches, salads","Cash or Cards","Vegan burgers, sandwiches, salads","Redmond
3720 159th Ave NE, Building 34 on Microsoft Redmond Campus, 11a – 2p","South Lake Union
333 Boren Ave N, 11a – 2p","null","South Lake Union
333 Boren Ave N, 11a – 2p","Downtown Seattle
2nd Ave and Pike St, 11a – 2p"
"Djung on Wheels","http://www.seattlefoodtruck.com/index.php/trucks/djung-on-wheels/","Thai","Unknown","Family-owned business offering great Thai food","South Lake Union
511 Boren Ave N, 11a – 2p","5th Ave and Union St,","South Lake Union
511 Boren Ave N, 11a – 2p","null","South Lake Union
511 Boren Ave N, 11a – 2p"
