number,name,website,cuisine,payment,twitter
3,Falafel Salam,http://www.seattlefoodtruck.com/index.php/trucks/falafel-salam/,Middle Eastern,Unknown,https://twitter.com/FalafelSalam
4,BUNS,http://www.seattlefoodtruck.com/index.php/trucks/buns/,Burgers,Cash or Cards,https://twitter.com/BunsOnWheels
5,Napkin Friends,http://www.seattlefoodtruck.com/index.php/trucks/napkin-friends/,Jewish,Cash or Cards,http://www.twitter.com/napkinfriends
6,Hot Dog King,http://www.seattlefoodtruck.com/index.php/trucks/hot-dog-king/,Hot Dogs,Cash or Cards,
7,Xplosive Truck,http://www.seattlefoodtruck.com/index.php/trucks/xplosive-truck/,Filipino-Vietnamese Fusion,Cash Only,https://twitter.com/XplosiveFoodTrk
8,ThaiUUp,http://www.seattlefoodtruck.com/index.php/trucks/thaiuup/,Thai,Cash Only,https://twitter.com/thaiuup
9,Raney Brothers BBQ,http://www.seattlefoodtruck.com/index.php/trucks/raney-brothers-bbq/,BBQ,Cash or Cards,https://twitter.com/RBBBQnet
10,Hallava Falafel,http://www.seattlefoodtruck.com/index.php/trucks/hallava-falafel/,Mediterranean,Cash or Cards,https://twitter.com/seattle_falafel
11,Off the Rez,http://www.seattlefoodtruck.com/index.php/trucks/off-the-rez/,Native American,Cash or Cards,https://twitter.com/OffTheRezTruck
12,Wicked Pies,http://www.seattlefoodtruck.com/index.php/trucks/wicked-pies/,Pizza,Cash or Cards,https://twitter.com/wicked_pies
13,Motofish Coffee,http://www.seattlefoodtruck.com/index.php/trucks/motofish-coffee/,Coffee / espresso / baked goods,Cash or cards,https://twitter.com/MotofishCoffee
14,Spice on Curve,http://www.seattlefoodtruck.com/index.php/trucks/spice-on-curve/,null,null,null
15,POP UP,http://www.seattlefoodtruck.com/index.php/trucks/pop-up/,Sweets,Cards Only,https://twitter.com/PopUpBikePops
16,Narwhal,http://www.seattlefoodtruck.com/index.php/trucks/narwhal/,Seafood,Cash or Cards,https://twitter.com/narwhaltruck
17,314 PIE,http://www.seattlefoodtruck.com/index.php/trucks/314-pie/,Sweet and Savory Pies,Cash or Cards,https://twitter.com/314PIESeattle
18,Yumbit Food Truck,http://www.seattlefoodtruck.com/index.php/trucks/yumbit-food-truck/,Taiwanese Bento,Cash or Cards,
19,Buddha Bruddah,http://www.seattlefoodtruck.com/index.php/trucks/buddha-bruddah/,Asian,Cash or Cards,
20,Chewaya Authentic Moroccan Sandwiches,http://www.seattlefoodtruck.com/index.php/trucks/chewaya-authen%E2%80%A6can-sandwiches/,null,null,null
21,Tat’s Truck,http://www.seattlefoodtruck.com/index.php/trucks/tats-truck/,Sandwiches,Cash or Cards,https://twitter.com/tatstruck
22,Jemil’s Big Easy,http://www.seattlefoodtruck.com/index.php/trucks/jemils-big-easy/,Cajun / Creole,Cash or Cards,https://twitter.com/JemilsBigEasy
23,Lumpia World,http://www.seattlefoodtruck.com/index.php/trucks/lumpia-world/,Filipino,Cash or Cards,https://twitter.com/LumpiaWorld
24,Saffron Spice,http://www.seattlefoodtruck.com/index.php/trucks/saffron-spice/,Indian,Cash or Cards,
25,I Love My GFF,http://www.seattlefoodtruck.com/index.php/trucks/i-love-my-gff/,Gluten-Free / Vegetarian,Cash or Cards,https://twitter.com/healthyfoodcart
26,Bake My Day,http://www.seattlefoodtruck.com/index.php/trucks/bake-my-day/,Sweets,Cash or Cards,https://twitter.com/BMDSeattle
27,Djung on Wheels,http://www.seattlefoodtruck.com/index.php/trucks/djung-on-wheels/,Thai,Unknown,
